Date,SiteID,Transect,CommonName,SpeciesName,SampleNumber,nValue,DDLat,DDLong,SpeciesSymbol,ESD_Designation,SoilType
4/19/2025,LUSLU_8,3,barrel cactus,Ferocactus,8,15,31.79034,-110.87986,FEROC,Succulent,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,8,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),8,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,9,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),9,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,9,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,10,37.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,10,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),11,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,11,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,12,15,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,tanglehead,Heteropogon contortus,12,37.5,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,12,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,13,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,13,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,tanglehead,Heteropogon contortus,13,2.5,31.79034,-110.87986,HECO10,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,14,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),14,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),15,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,15,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),16,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,16,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Cholla,Opuntia - Cholla,17,2.5,31.79034,-110.87986,CHOLLA,Succulent,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,17,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,17,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),17,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Annual forb(s),Annual forb(s),18,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,18,85,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,19,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,burroweed,Isocoma tenuisecta,19,2.5,31.79034,-110.87986,ISTE2,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,3,Lehmann lovegrass,Eragrostis lehmanniana,20,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,1,97.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,2,37.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,2,2.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,3,62.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),3,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,4,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),4,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,4,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,5,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),5,15,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,5,2.5,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,velvet mesquite,Prosopis velutina,6,37.5,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),6,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,6,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),7,15,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,7,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,velvet mesquite,Prosopis velutina,7,15,31.79034,-110.87986,PRVE,Shrub,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),8,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,8,37.5,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Annual forb(s),Annual forb(s),9,2.5,31.79034,-110.87986,AAFF,Annual Forbs,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Arizona cottontop,Digitaria californica,9,15,31.79034,-110.87986,DICA8,Native Grass,LoamyUpland_SandyLoamUpland_12-16pz
4/19/2025,LUSLU_8,4,Lehmann lovegrass,Eragrostis lehmanniana,10,15,31.79034,-110.87986,ERLE,Introduced Grass,LoamyUpland_SandyLoamUpland_12-16pz
